web-scraper-order,Street,full_address,PLZ,Ortschaftsname,Kantonskürzel,housenumber,strplz,address_geocoding,latitude,longitude
1672673021-28292,Schützewisstrasse 3a,"Schützewisstrasse 3a, 9534 Gähwil",9534,Gähwil,SG,3.0,4461,Schützewisstrasse 3a Gähwil,47.46248245239258,7.834681034088135
1672673667-32517,Spelterinistrasse 29,"Spelterinistrasse 29, 9602 Bazenheid",9602,Bazenheid,SG,29.0,9055,Spelterinistrasse 29 Bazenheid,47.372135162353516,9.419261932373047
1672673531-31599,Seestrasse 54,"Seestrasse 54, 8806 Bäch SZ",8806,Bäch SZ,SZ,54.0,3400,Seestrasse 54 Bäch SZ,47.049224853515625,7.639812469482422
1672671791-22359,Via Fiorina 25,"Via Fiorina 25, 6600 Locarno",6600,Locarno,TI,25.0,5505,Via Fiorina 25 Locarno,47.41901397705078,8.214691162109375
1672673541-31640,Mülibachstrasse 55,"Mülibachstrasse 55, 8107 Buchs ZH",8107,Buchs ZH,ZH,55.0,6614,Mülibachstrasse 55 Buchs ZH,46.11051940917969,8.69863510131836
1672673541-31643,Ringstrasse 16,"Ringstrasse 16, 8107 Buchs ZH",8107,Buchs ZH,ZH,16.0,6614,Ringstrasse 16 Buchs ZH,46.116641998291016,8.707581520080566
1672673544-31679,Mülibachstrasse 59,"Mülibachstrasse 59, 8107 Buchs ZH",8107,Buchs ZH,ZH,59.0,6614,Mülibachstrasse 59 Buchs ZH,46.11282730102539,8.705545425415039
1672672280-25572,Mühlebergstrasse 18,"Mühlebergstrasse 18, 8107 Buchs",8107,Buchs ZH,ZH,18.0,6614,Mühlebergstrasse 18 Buchs ZH,46.120750427246094,8.710830688476562
1672673944-34439,Sonnmattweg 66,"Sonnmattweg 66, 4410 Liestal",4410,Liestal,BL,66.0,6614,Sonnmattweg 66 Liestal,46.12169647216797,8.711684226989746
1672672568-27476,Wiedenhubstrasse 17,"Wiedenhubstrasse 17, 4410 Liestal",4410,Liestal,BL,17.0,6614,Wiedenhubstrasse 17 Liestal,46.12492752075195,8.712255477905273
1672671794-22376,Arisdörferstrasse 107,"Arisdörferstrasse 107, 4410 Liestal",4410,Liestal,BL,107.0,6614,Arisdörferstrasse 107 Liestal,46.12038040161133,8.713057518005371
1672673923-34297,Schulstrasse 112,"Schulstrasse 112, 8952 Schlieren",8952,Schlieren,ZH,112.0,4805,Schulstrasse 112 Schlieren,47.253108978271484,7.94741678237915
1672673948-34446,Wegmatt 18,"Wegmatt 18, 6048 Horw",6048,Horw,LU,18.0,6648,Wegmatt 18 Horw,46.18365478515625,8.823241233825684
1672672994-28087,Ringstrasse 5,"Ringstrasse 5, 6048 Horw",6048,Horw,LU,5.0,6648,Ringstrasse 5 Horw,46.17726516723633,8.80882453918457
1672672994-28088,Stegenrain 4,"Stegenrain 4, 6048 Horw",6048,Horw,LU,4.0,6648,Stegenrain 4 Horw,46.18071365356445,8.817953109741211
1672672994-28091,Kantonsstrasse 120,"Kantonsstrasse 120, 6048 Horw",6048,Horw,LU,120.0,6648,Kantonsstrasse 120 Horw,46.179813385009766,8.81824016571045
1672672994-28093,Obchilchweg 7,"Obchilchweg 7, 6048 Horw",6048,Horw,LU,7.0,3855,Obchilchweg 7 Horw,46.7503547668457,8.05241584777832
1672671912-23157,Rigiblickweg 7,"Rigiblickweg 7, 6048 Horw",6048,Horw,LU,7.0,7492,Rigiblickweg 7 Horw,46.67741394042969,9.651288986206055
1672672562-27435,Im Sprung 10,"Im Sprung 10, 4132 Muttenz",4132,Muttenz,BL,10.0,6645,Im Sprung 10 Muttenz,46.18336868286133,8.81548023223877
1672671625-21300,Dornhagstrasse 21,"Dornhagstrasse 21, 4132 Muttenz",4132,Muttenz,BL,21.0,6645,Dornhagstrasse 21 Muttenz,46.18218231201172,8.806174278259277
1672673932-34347,Rue de l'Evole 35A,"Rue de l'Evole 35A, 2000 Neuchâtel",2000,Neuchâtel,NE,35.0,4226,Rue de l'Evole 35A Neuchâtel,47.406429290771484,7.546140193939209
